ID,TimeDifference,RTT
2,0.009999999999999787,0.038

3,0.009999999999999787,0.04

4,0,0.04

5,0.020000000000003126,0.038

6,0.025000000000003908,0.04

7,0.015000000000002345,0.041

8,0,0.04

9,0,0.04

10,0.004999999999999005,0.039

11,0.004999999999999005,0.039

12,0.004999999999999005,0.038

13,0.00999999999999801,0.049

14,0.01999999999999602,0.04

15,0.01999999999999602,0.038

16,0.01999999999999602,0.038

17,0.01999999999999602,0.039

18,0.01999999999999602,0.039

19,0.014999999999997016,0.042

20,0.004999999999999005,0.038

21,0.005000000000002558,0.039

22,0.005000000000002558,0.04

23,0.020000000000010232,0.039

24,0.010000000000005116,0.041

25,0.005000000000002558,0.038

26,0.005000000000002558,0.039

27,0.005000000000002558,0.038

28,0.010000000000005116,0.04

29,0.005000000000002558,0.039

30,0,0.038

31,0.005000000000002558,0.038

32,0,0.039

33,0,0.04

34,0,0.04

35,0,0.038

36,0.005000000000002558,0.038

37,0,0.04

38,0.010000000000005116,0.043

39,0.005000000000002558,0.041

40,0.005000000000002558,0.038

41,0,0.039
